name,price,side_effects,used_for
Castor NF Cream,₹ 85,"Application site reactions (burning, irritation, itching and redness),Thinning of skin,Skin peeling,","Skin infections,"
Chymoral Forte-DS Tablet,₹ 365.70,"No common side effects seen,","Treatment of Pain relief,Treatment of Swelling,"
Candiderma Plus  Cream,₹ 147.50,"Application site reactions (burning, irritation, itching and redness),","Skin infections,"
Candid-B Lotion,₹ 200,"Application site reactions (burning, irritation, itching and redness),","Fungal skin infections,"
Cosvate-Gm Cream,₹ 32.21,"Application site reactions (burning, irritation, itching and redness),Thinning of skin,","Skin infections,"
Clavam Dry Syrup,₹ 60.26,"Nausea,Vomiting,Abdominal pain,Diarrhea,Allergy,Skin rash,","Treatment of Bacterial infections,Treatment of Resistant Tuberculosis (TB),"
Clopitab-CV 10 Capsule,₹ 200.55,"Stomach pain,Diarrhea,Indigestion,Constipation,Headache,Dizziness,Muscle pain,Weakness,Increased glucose level in blood,Increased liver enzymes,","Heart attack prevention and high cholesterol,"
Corbis 5 Tablet,₹ 84.15,"Nausea,Headache,Slow heart rate,Fatigue,Constipation,Diarrhea,Dizziness,Cold extremities,","Treatment of Hypertension (high blood pressure),Treatment of Angina (heart-related chest pain),Treatment of Arrhythmia,Prevention of Heart attack,Prevention of Migraine,"
Cloben G Cream,₹ 108.85,"Application site reactions (burning, irritation, itching and redness),","Skin infections,"
Cosvate-Gm Cream,₹ 25.76,"Application site reactions (burning, irritation, itching and redness),Thinning of skin,","Skin infections,"
Corex DX  Syrup,₹ 70,"Upset stomach,Sleepiness,","Dry cough,"
Cabgolin 0.25 Tablet,₹ 188,"Blurred vision,Drowsiness,Hot flashes,Indigestion,Nausea,Constipation,Dizziness,Fatigue,Headache,Vertigo,Vomiting,","Treatment of High levels of prolactin,"
Cetzine Tablet,₹ 18.37,"Sleepiness,Dizziness,","Allergic conditions,"
Combigan Ophthalmic Solution,₹ 464.79,"Application site reactions (burning, irritation, itching and redness),Blurred vision,","Treatment of Ocular hypertension,Treatment of Glaucoma,"
Cintodac  Capsule,₹ 324.90,"Headache,Diarrhea,Stomach pain,Flatulence,Dizziness,","Gastroesophageal reflux disease (Acid reflux),Peptic ulcer disease,"
Cefakind 250 Tablet,₹ 190.33,"Rash,Vomiting,Allergic reaction,Increased liver enzymes,Nausea,Diarrhea,","Bacterial infections,"
Ciplar 40 Tablet,₹ 46.14,"Tiredness,Weakness,Raynaud phenomenon,Arrhythmia (irregular heartbeats),Nausea,Vomiting,Diarrhea,","Hypertension (high blood pressure),Anxiety,Arrhythmia,Prevention of Heart attack,Prevention of Angina (heart-related chest pain),Prevention of Migraine,"
Jubira Plus Capsule,₹ 49.50,"Increased bleeding tendency,Nausea,Abdominal pain,Constipation,Headache,Muscle pain,Weakness,Dizziness,Indigestion,","Prevention of heart attack and stroke,"
Jupiros-F Tablet,₹ 224,"Nausea,Headache,Abdominal pain,Muscle pain,Weakness,","High cholesterol,Prevention of Heart attack,"
Just Tears Liquigel,₹ 132.06,"Eye redness,Burning eyes,Stinging in the eyes,Allergic reaction in eye,","Dry eyes,"
Junior Cipeg Powder for Oral Solution,₹ 242,"Stomach pain,Nausea,Diarrhea,","Constipation,Intestine preparation before any surgery,"
Jupiros Gold 10 Capsule,₹ 175,"Increased bleeding tendency,Abdominal pain,Indigestion,Bruise,Nosebleeds,Gastrointestinal bleeding,Weakness,Headache,Muscle pain,Diarrhea,Nausea,","Heart attack,"
Jakavi 5mg Tablet,"₹ 30,084","Headache,Dizziness,Low blood platelets,Anemia (low number of red blood cells),","Polycythemia vera,Chronic idiopathic myelofibrosis,"
Josh In 50mg Tablet,₹ 159,"Flushing (sense of warmth in the face, ears, neck and trunk),Headache,","Pulmonary arterial hypertension (PAH),"
Jupiros CV 10 Capsule,₹ 160.50,"Indigestion,Diarrhea,Stomach pain,Constipation,Weakness,Headache,Dizziness,Muscle pain,Increased glucose level in blood,Increased liver enzymes,","Heart attack prevention and high cholesterol,"
Jardiance Met 5mg/500mg Tablet,₹ 350,"Taste change,Nausea,Vomiting,Diarrhea,Urinary tract infection,Yeast infections,","Type 2 diabetes mellitus,"
Juliana Tablet,₹ 192.70,"Nausea,Stomach pain,Headache,Irregular uterine bleeding,Weight gain,Breast pain,","Contraception,"
Jectocos 50mg Injection,₹ 50.08,"Vomiting,Dark colored stool,Nausea,Constipation,Diarrhea,Injection site reactions (pain, swelling, redness),","Iron deficiency anemia,"
Jupiros Gold 20 Capsule,₹ 199.50,"Increased bleeding tendency,Abdominal pain,Indigestion,Bruise,Nosebleeds,Gastrointestinal bleeding,Weakness,Headache,Muscle pain,Diarrhea,Nausea,","Heart attack,"
Jubira F 10 Tablet,₹ 179,"Nausea,Headache,Abdominal pain,Muscle pain,Weakness,","High cholesterol,Prevention of Heart attack,"
Joincerin M  Tablet,₹ 188.30,"Nausea,Diarrhea,Constipation,Indigestion,Heartburn,Urine discoloration,","Osteoarthritis,"
Jubira 10 Tablet,₹ 135,"Muscle pain,Weakness,Headache,Abdominal pain,Nausea,","High cholesterol,Prevention of heart attack and stroke,"
Justin AQ 75mg Injection,₹ 19.40,"Nausea,Limb pain,Injection site reactions (pain, swelling, redness),","Pain relief,"
Jenvac Vaccine,₹ 664.60,"Fatigue,Fever,Headache,Injection site reactions (pain, swelling, redness),Muscle pain,Nausea,","Prevention of Japanese Encephalitis,"
Jupiros 5 Tablet,₹ 91,"Muscle pain,Weakness,Headache,Abdominal pain,Nausea,","High cholesterol,Prevention of heart attack and stroke,"
Jointace-DN Super Tablet,₹ 241.50,"Nausea,Diarrhea,Constipation,Urine discoloration,Heartburn,","Osteoarthritis,"
Joshila 100mg Tablet,₹ 35.78,"Flushing (sense of warmth in the face, ears, neck and trunk),Headache,Dizziness,Blurred vision,Muscle pain,Upset stomach,Rash,","Treatment of Erectile dysfunction,"
Jalra 100mg Tablet,₹ 297.62,"Hypoglycemia (low blood glucose level),Tremor,Headache,Dizziness,Fatigue,Nausea,","Type 2 diabetes mellitus,"
Jardom Capsule SR,₹ 110,"Diarrhea,Stomach pain,Dryness in mouth,Headache,Dizziness,Flatulence,Weakness,Flu-like symptoms,","Gastroesophageal reflux disease (Acid reflux),Peptic ulcer disease,"
Jupiros 20 Tablet,₹ 316.50,"Muscle pain,Weakness,Headache,Abdominal pain,Nausea,","High cholesterol,Prevention of heart attack and stroke,"
Joykem ODT 100 Tablet,₹ 149.50,"Nausea,Vomiting,Dryness in mouth,Constipation,Weight gain,Decreased blood pressure,Dystonia (involuntary muscle contractions),Akathisia (inability to stay still),Parkinsonism,Increased prolactin level in blood,","Schizophrenia,"
Jubiglim M 2 Tablet PR,₹ 55,"Hypoglycemia (low blood glucose level),Taste change,Nausea,Diarrhea,Stomach pain,Headache,Upper respiratory tract infection,","Type 2 diabetes mellitus,"
Jubiglim Trio 2 Tablet PR,₹ 85,"Hypoglycemia (low blood glucose level),Nausea,Taste change,Diarrhea,Stomach pain,Headache,Edema (swelling),Weight gain,Blurred vision,Bone fracture,Respiratory tract infection,","Type 2 diabetes mellitus,"
Joten 20mg Tablet,₹ 108,"Hypoglycemia (low blood glucose level),Constipation,","Type 2 diabetes mellitus,"
Julax 5mg Tablet,₹ 44.65,"Vomiting,Bloating,Nausea,Stomach cramp,","Constipation,"
Jalra-M  50mg/850mg Tablet,₹ 277.56,"Nausea,Vomiting,Diarrhea,Stomach pain,Loss of appetite,Dizziness,Headache,Trembling,Metallic taste,Hypoglycemia (low blood glucose level),","Type 2 diabetes mellitus,"
Jolavi Tablet,₹ 700,"Headache,Nausea,Rash,Difficulty in urination,","Low blood pressure,"
Amodep AT Tablet,₹ 32.80,"Sleepiness,Headache,Ankle swelling,Flushing (sense of warmth in the face, ears, neck and trunk),Slow heart rate,Palpitations,Nausea,Edema (swelling),Constipation,Tiredness,Cold extremities,","Hypertension (high blood pressure),"
Azithral 200 Liquid,₹ 51.70,"Vomiting,Nausea,Abdominal pain,Diarrhea,","Treatment of Bacterial infections,"
Alzolam 0.25mg Tablet,₹ 15.90,"Lightheadedness,Drowsiness,","Anxiety,Panic disorder,"
Amaryl M  1mg Tablet PR,₹ 157.70,"Hypoglycemia (low blood glucose level),Taste change,Nausea,Diarrhea,Stomach pain,Headache,Upper respiratory tract infection,","Type 2 diabetes mellitus,"
Acemiz Plus Tablet,₹ 90.50,"Nausea,Vomiting,Stomach pain/epigastric pain,Loss of appetite,Heartburn,Diarrhea,","Pain relief,"
Azee 200mg Dry Syrup,₹ 46.98,"Vomiting,Nausea,Abdominal pain,Diarrhea,","Treatment of Bacterial infections,"
Ajaduo 25mg/5mg Tablet,₹ 780,"Urinary tract infection,Nasal congestion (stuffy nose),Sore throat,Upper respiratory tract infection,","Type 2 diabetes mellitus,"
Ambrodil-LX Syrup,₹ 76,"Nausea,Vomiting,Diarrhea,Upset stomach,Stomach pain,Allergic reaction,Dizziness,Headache,Rash,Hives,Tremor,Palpitations,Muscle cramp,Increased heart rate,","Cough with mucus,"
AF Kit Tablet,₹ 104,"Taste change,Vomiting,Headache,Dizziness,Stomach pain,Nausea,Indigestion,Diarrhea,Loss of appetite,","Syndromic treatment of vaginal discharge,"
Aerocort Inhaler,₹ 226.27,"Hoarseness of voice,Sore throat,Fungal infection of mouth,Respiratory tract infection,Headache,Muscle cramp,","Asthma,"
Aldactone 50 Tablet,₹ 63.45,"Nausea,Vomiting,Leg cramps,Dizziness,Drowsiness,Confusion,Breast enlargement in male,Increased creatinine level in blood,","Hypertension (high blood pressure),Edema,Low potassium,Heart failure,"
Aziwok 500 Tablet,₹ 118.89,"Vomiting,Nausea,Abdominal pain,Diarrhea,","Bacterial infections,"
Azmarda 50mg Tablet,"₹ 1,092.03","Cough,Dizziness,Orthostatic hypotension (sudden lowering of blood pressure on standing),Altered levels of potassium in blood,Decreased red blood cell count,Decreased blood pressure,Hypoglycemia (low blood glucose level),Diarrhea,Fainting,Headache,Nausea,Stomach pain,Vertigo,Weakness,","Heart failure,"
AB Phylline N Tablet,₹ 191,"Vomiting,Heartburn,Stomach pain,Upset stomach,Rash,Hives,Itching,Breathing problems,Nasal inflammation,Increased white blood cell count,","Chronic obstructive pulmonary disease (COPD),"
ACE  PROXYVON TABLET,₹ 66,"Nausea,Vomiting,Stomach pain/epigastric pain,Loss of appetite,Heartburn,Diarrhea,","Pain relief,"
Acitrom 1 Tablet,₹ 240.90,"Bleeding,","Treatment and prevention of Blood clots,"
Acivir Cream,₹ 72.53,"Application site reactions (burning, irritation, itching and redness),","Herpes labialis,"
Asthalin 4 Tablet,₹ 6.04,"Tremor,Headache,Palpitations,Increased heart rate,Muscle cramp,","Treatment and prevention of Asthma,Treatment and prevention of Chronic obstructive pulmonary disease (COPD),"
Acenac-P  Tablet,₹ 55.50,"Nausea,Vomiting,Stomach pain/epigastric pain,Loss of appetite,Heartburn,Diarrhea,","Pain relief,"
Aztolet  10 Tablet,₹ 155,"Stomach pain,Diarrhea,Indigestion,Constipation,Headache,Dizziness,Muscle pain,Weakness,Increased glucose level in blood,Increased liver enzymes,","Heart attack prevention and high cholesterol,"
Amlip 5 Tablet,₹ 29.09,"Headache,Fatigue,Nausea,Abdominal pain,Sleepiness,","Hypertension (high blood pressure),Prevention of Angina (heart-related chest pain),"
Anxit 0.25mg Tablet,₹ 20.50,"Lightheadedness,Drowsiness,","Anxiety,Panic disorder,"
Amlopres-AT Tablet,₹ 135.09,"Sleepiness,Headache,Ankle swelling,Flushing (sense of warmth in the face, ears, neck and trunk),Slow heart rate,Palpitations,Nausea,Edema (swelling),Constipation,Tiredness,Cold extremities,","Hypertension (high blood pressure),"
Admenta 5 Tablet,₹ 108,"Dizziness,Headache,Confusion,Sleepiness,Diarrhea,Abnormal liver function tests,Balance disorder (loss of balance),Breathlessness,Pulmonary hypertension (high blood pressure),Hypersensitivity,","Alzheimer's disease,"
Amaryl MV 2mg Tablet SR,₹ 194.03,"Hypoglycemia (low blood glucose level),Nausea,Diarrhea,Taste change,Flatulence,Stomach pain,Headache,Skin rash,Respiratory tract infection,","Type 2 diabetes mellitus,"
Acogut Tablet,₹ 120,"Headache,Diarrhea,","Functional dyspepsia,"
Azulix 2 MF Tablet PR,₹ 190.10,"Hypoglycemia (low blood glucose level),Taste change,Nausea,Diarrhea,Stomach pain,Headache,Upper respiratory tract infection,","Type 2 diabetes mellitus,"
Aceclo-MR Tablet,₹ 74,"Nausea,Vomiting,Heartburn,Stomach pain,Diarrhea,Loss of appetite,Tiredness,Sleepiness,","Treatment of Muscular pain,"
Augmentin 1.2gm Injection,₹ 140.22,"Vomiting,Nausea,Diarrhea,","Bacterial infections,"
Alkem Amoxicillin 250mg Capsule,₹ 104.06,"Rash,Vomiting,Allergic reaction,Nausea,Diarrhea,","Bacterial infections,"
Quadriderm RF Cream,₹ 126,"Application site reactions (burning, irritation, itching and redness),","Skin infections,"
Qutipin 25 Tablet,₹ 54,"Decreased haemoglobin level in blood,Increased triglyceride level in blood,Dizziness,Headache,Weight gain,Drowsiness,Dryness in mouth,Extrapyramidal symptoms,Decreased cholesterol level in blood,Withdrawal symptoms,","Schizophrenia,Mania,"
Qutan 25 Tablet,₹ 50.50,"Decreased haemoglobin level in blood,Increased triglyceride level in blood,Dizziness,Headache,Weight gain,Drowsiness,Dryness in mouth,Extrapyramidal symptoms,Decreased cholesterol level in blood,Withdrawal symptoms,","Schizophrenia,Mania,"
Qutipin 50 Tablet,₹ 76,"Decreased haemoglobin level in blood,Increased triglyceride level in blood,Dizziness,Headache,Weight gain,Drowsiness,Dryness in mouth,Extrapyramidal symptoms,Decreased cholesterol level in blood,Withdrawal symptoms,","Schizophrenia,Mania,"
Qmax 200mg Tablet,₹ 66,"Nausea,Stomach pain,Diarrhea,","Bacterial infections,"
Qutan 50 Tablet,₹ 75.50,"Decreased haemoglobin level in blood,Increased triglyceride level in blood,Dizziness,Headache,Weight gain,Drowsiness,Dryness in mouth,Extrapyramidal symptoms,Decreased cholesterol level in blood,Withdrawal symptoms,","Schizophrenia,Mania,"
Quadrajel Gel,₹ 57,"Application site reactions (burning, irritation, itching and redness),Dryness,Metallic taste,Nausea,Staining of teeth,","Mouth ulcers,"
Quadriderm RF Cream,₹ 68,"Application site reactions (burning, irritation, itching and redness),","Skin infections,"
Qutipin 100 Tablet,₹ 92,"Decreased haemoglobin level in blood,Increased triglyceride level in blood,Dizziness,Headache,Weight gain,Drowsiness,Dryness in mouth,Extrapyramidal symptoms,Decreased cholesterol level in blood,Withdrawal symptoms,","Schizophrenia,Mania,"
Qtern 5mg/10mg Tablet,"₹ 1,092","Upper respiratory tract infection,Urinary tract infection,Hypercholesterolemia (high cholesterol),","Type 2 diabetes mellitus,"
Q-Car Tablet,₹ 300,"Nausea,Vomiting,Heartburn,Stomach pain,Rash,Headache,Irritation,Photosensitivity,Insomnia (difficulty in sleeping),Increased liver enzymes,Dizziness,Tiredness,","Nutritional deficiencies,"
Qutan 100 Tablet,₹ 100.50,"Decreased haemoglobin level in blood,Increased triglyceride level in blood,Dizziness,Headache,Weight gain,Drowsiness,Dryness in mouth,Extrapyramidal symptoms,Decreased cholesterol level in blood,Withdrawal symptoms,","Schizophrenia,Mania,"
Qudict 2 mg/0.5 mg Tablet,₹ 328,"Headache,Sweating,Drug withdrawal syndrome,Nausea,Vomiting,Constipation,Numbness in mouth,Tongue pain,Back pain,Lightheadedness,Arrhythmia (irregular heartbeats),Blurred vision,Sleep disturbance,Difficulty in paying attention,Dizziness,Fainting,Sleepiness,","Opioid dependence,"
Q-Car Forte  Tablet,₹ 470,"Headache,Photosensitivity,Irritation,Nausea,Vomiting,Stomach pain,Heartburn,Insomnia (difficulty in sleeping),Increased liver enzymes,Rash,Dizziness,Tiredness,","Nutritional deficiencies,"
Quadriderm NF Cream,₹ 53,"Application site reactions (burning, irritation, itching and redness),","Skin infections,"
Qutipin SR 100 Tablet,₹ 97,"Decreased haemoglobin level in blood,Increased triglyceride level in blood,Dizziness,Headache,Weight gain,Drowsiness,Dryness in mouth,Extrapyramidal symptoms,Decreased cholesterol level in blood,Withdrawal symptoms,","Schizophrenia,Mania,"
Qutipin 200 Tablet,₹ 158,"Decreased haemoglobin level in blood,Increased triglyceride level in blood,Dizziness,Headache,Weight gain,Drowsiness,Dryness in mouth,Extrapyramidal symptoms,Decreased cholesterol level in blood,Withdrawal symptoms,","Schizophrenia,Mania,"
Qutipin SR 50 Tablet,₹ 71,"Decreased haemoglobin level in blood,Increased triglyceride level in blood,Dizziness,Headache,Weight gain,Drowsiness,Dryness in mouth,Extrapyramidal symptoms,Decreased cholesterol level in blood,Withdrawal symptoms,","Schizophrenia,Mania,"
Quel 25mg Tablet,₹ 43.30,"Decreased haemoglobin level in blood,Increased triglyceride level in blood,Dizziness,Headache,Weight gain,Drowsiness,Dryness in mouth,Extrapyramidal symptoms,Decreased cholesterol level in blood,Withdrawal symptoms,","Schizophrenia,Mania,"
Qutipin SR 200 Tablet,₹ 164,"Decreased haemoglobin level in blood,Increased triglyceride level in blood,Dizziness,Headache,Weight gain,Drowsiness,Dryness in mouth,Extrapyramidal symptoms,Decreased cholesterol level in blood,Withdrawal symptoms,","Schizophrenia,Mania,"
Qutan SR 100 Tablet,₹ 97,"Decreased haemoglobin level in blood,Increased triglyceride level in blood,Dizziness,Headache,Weight gain,Drowsiness,Dryness in mouth,Extrapyramidal symptoms,Decreased cholesterol level in blood,Withdrawal symptoms,","Schizophrenia,Mania,"
Qutan SR 50 Tablet,₹ 70,"Decreased haemoglobin level in blood,Increased triglyceride level in blood,Dizziness,Headache,Weight gain,Drowsiness,Dryness in mouth,Extrapyramidal symptoms,Decreased cholesterol level in blood,Withdrawal symptoms,","Schizophrenia,Mania,"
Quadrovax SD Vaccine,₹ 642.85,"Vomiting,Fever,Drowsiness,Unusual crying,Tenderness,Injection site redness,Irritation,Loss of appetite,","Tetanus,Diphtheria,Pertussis,Haemophilus influenzae Type b disease,"
Q Tab 300mg Tablet,₹ 56.68,"Vomiting,Deafness,Headache,Dizziness,Flushing (sense of warmth in the face, ears, neck and trunk),Blurred vision,Nausea,Abdominal pain,Ringing in ear,Diarrhea,Vertigo,Increased sweating,","Malaria,"
Qure 500 Tablet,₹ 88.37,"Headache,Dizziness,Nausea,Constipation,Diarrhea,","Bacterial infections,"
Quadrajel Gel,₹ 130,"Application site reactions (burning, irritation, itching and redness),Dryness,Metallic taste,Nausea,Staining of teeth,","Mouth ulcers,"
Qutipin SR 300 Tablet,₹ 223,"Decreased haemoglobin level in blood,Increased triglyceride level in blood,Dizziness,Headache,Weight gain,Drowsiness,Dryness in mouth,Extrapyramidal symptoms,Decreased cholesterol level in blood,Withdrawal symptoms,","Schizophrenia,Mania,"
Qmax OZ 200 mg/500 mg Tablet,₹ 121,"Nausea,Loss of appetite,Dizziness,Headache,","Treatment of Bacterial & parasitic infections,"
Qustain P 1000 Tablet SR,₹ 60,"No common side effects seen,","Pain relief,Fever,"
Q Life 500mg Tablet,₹ 38,"Headache,Dizziness,Nausea,Constipation,Diarrhea,","Bacterial infections,"
Refresh Tears Eye Drop,₹ 142.59,"Eye irritation,Burning eyes,Eye discomfort,Eye itching,Eye pain,","Dry eyes,"
Rantac 150 Tablet,₹ 24.64,"Sleepiness,Headache,Tiredness,Constipation,Diarrhea,","Heartburn,Gastroesophageal reflux disease (Acid reflux),Peptic ulcer disease,"
Rifagut 400 Tablet,₹ 335,"Vomiting,Headache,Dizziness,Nausea,","Hepatic encephalopathy,"
Regestrone 5mg Tablet,₹ 57,"Headache,Dizziness,Breast tenderness,Nausea,Vaginal spotting,Vomiting,Abdominal cramp,","Heavy menstrual bleeding,Pain during menstruation,Endometriosis,Premenstrual syndrome (PMS),"
Reswas Syrup,₹ 99,"Vomiting,Constipation,Dryness in mouth,Sleepiness,Exhaustion,Impaired coordination,Dizziness,Difficulty in paying attention,","Dry cough,"
Razo-D Capsule SR,₹ 271.50,"Diarrhea,Stomach pain,Dryness in mouth,Headache,Dizziness,Flatulence,Weakness,Flu-like symptoms,","Gastroesophageal reflux disease (Acid reflux),Peptic ulcer disease,"
Redotil 100mg Capsule,₹ 321.25,"Vomiting,Fever,","Diarrhea,"
Rosuvas 10 Tablet,₹ 266,"Muscle pain,Weakness,Headache,Abdominal pain,Nausea,","High cholesterol,Prevention of heart attack and stroke,"
Retino AC Gel,₹ 372,"Application site reactions (burning, irritation, itching and redness),Dryness,Skin peeling,Dermatitis,","Acne,"
Retino-A 0.025% Cream,₹ 230,"Erythema (skin redness),Skin irritation,Dry skin,Dry lips,Pale red skin,Increased sensitivity to light,","Acne,"
Rifagut 550 Tablet,₹ 430,"Vomiting,Headache,Dizziness,Nausea,","Hepatic encephalopathy,"
Razo 20 Tablet,₹ 220.75,"Diarrhea,Dizziness,Flatulence,Headache,Nausea,Sore throat,Stomach pain,Vomiting,","Gastroesophageal reflux disease (Acid reflux),Peptic ulcer disease,"
Rivotril 0.5mg Tablet,₹ 51.94,"Depression,Dizziness,Drowsiness,Fatigue,Impaired coordination,","Treatment of Anxiety disorder,Treatment of Epilepsy/Seizures,"
Refresh Liquigel Eye Drop,₹ 197.76,"Eye irritation,Burning eyes,Eye discomfort,Eye itching,Eye pain,","Dry eyes,"
Rabekind-DSR Capsule,₹ 85,"Diarrhea,Stomach pain,Dryness in mouth,Headache,Dizziness,Flatulence,Weakness,Flu-like symptoms,","Gastroesophageal reflux disease (Acid reflux),Peptic ulcer disease,"
Rivaban 10 Tablet,₹ 140,"Bleeding,","Treatment and prevention of Blood clots,"
Roxid 150 Tablet,₹ 161,"Nausea,Vomiting,Abdominal pain,Diarrhea,Allergy,","Bacterial infections,"
Rablet D Capsule SR,₹ 169.50,"Diarrhea,Stomach pain,Dryness in mouth,Headache,Dizziness,Flatulence,Weakness,Flu-like symptoms,","Gastroesophageal reflux disease (Acid reflux),Peptic ulcer disease,"
Roseday 10 Tablet,₹ 104.40,"Muscle pain,Weakness,Headache,Abdominal pain,Nausea,","High cholesterol,Prevention of heart attack and stroke,"
Rapitus Syrup Sugar Free,₹ 90,"Nausea,Drowsiness,Dizziness,Headache,Fatigue,","Treatment of Dry cough,"
Rabemac-DSR Capsule,₹ 119.90,"Diarrhea,Stomach pain,Dryness in mouth,Headache,Dizziness,Flatulence,Weakness,Flu-like symptoms,","Gastroesophageal reflux disease (Acid reflux),Peptic ulcer disease,"
Relent Tablet,₹ 107.50,"Upset stomach,Dryness in mouth,Fatigue,Dizziness,Sedation,Allergic reaction,","Cough,"
Rozavel 10 Tablet,₹ 177,"Muscle pain,Weakness,Headache,Abdominal pain,Nausea,","High cholesterol,Prevention of heart attack and stroke,"
Regaine 5% Solution,₹ 920,"Skin irritation,Itching,","Hair loss,"
Rablet 20 Tablet,₹ 151,"Diarrhea,Dizziness,Flatulence,Headache,Nausea,Sore throat,Stomach pain,Vomiting,","Gastroesophageal reflux disease (Acid reflux),Peptic ulcer disease,"
Resner Plus Tablet,₹ 171.45,"Constipation,Weight gain,Orthostatic hypotension (sudden lowering of blood pressure on standing),Increased heart rate,Dizziness,Sleepiness,Tiredness,Blurred vision,Dryness in mouth,Difficulty in urination,Uncoordinated body movements,","Neuropathic pain,"
Renolog Tablet,₹ 374,"No common side effects seen,","Chronic kidney disease,"
Rebagen Tablet,₹ 114,"Indigestion,","Peptic ulcer disease,Mouth ulcers,"
Rabesec-D SR Capsule,₹ 133.10,"Diarrhea,Stomach pain,Dryness in mouth,Headache,Dizziness,Flatulence,Weakness,Flu-like symptoms,","Gastroesophageal reflux disease (Acid reflux),Peptic ulcer disease,"
Rosuvas F 10 Tablet,₹ 337,"Nausea,Headache,Abdominal pain,Muscle pain,Weakness,","High cholesterol,Prevention of Heart attack,"
Keto Cream,₹ 215,"Skin peeling,Blisters on skin,Dry skin,Application site reactions (burning, irritation, itching and redness),","Fungal skin infections,"
Kevon Lotion,₹ 237,"Skin peeling,Blisters on skin,Dry skin,Application site reactions (burning, irritation, itching and redness),","Fungal skin infections,"
KT 5 Derm Cream,₹ 72,"Thinning of skin,Application site reactions (burning, irritation, itching and redness),","Skin infections,"
Kera FM Solution For Men,₹ 719.95,"Application site reactions (burning, irritation, itching and redness),Dry skin,Impotence,Decreased libido,Ejaculation disorder,Breast enlargement,Breast tenderness in male,Skin rash,","Treatment of Hair loss,"
Keppra 500mg Tablet,₹ 131.72,"Sleepiness,Dizziness,Fatigue,Headache,Decreased appetite,Behavioural changes,Aggressive behavior,Irritation,Agitation,Nasal congestion (stuffy nose),Infection,","Epilepsy/Seizures,"
Ketotram 10mg/25mg Tablet,₹ 78,"Nausea,Vomiting,Constipation,Indigestion,Weakness,Dizziness,Dryness in mouth,Sleepiness,","Pain relief,"
Keto-B Cream,₹ 112,"Application site reactions (burning, irritation, itching and redness),","Fungal skin infections,"
Kenz-Sal Lotion,₹ 229,"Application site reactions (burning, irritation, itching and redness),","Treatment of Dandruff,"
K-Glim-M 2mg Tablet PR,₹ 58,"Hypoglycemia (low blood glucose level),Taste change,Nausea,Diarrhea,Stomach pain,Headache,Upper respiratory tract infection,","Type 2 diabetes mellitus,"
K-Trip Forte Tablet,₹ 101.75,"No common side effects seen,","Treatment of Pain relief,Treatment of Swelling,"
K-Glim-M 1mg Tablet PR,₹ 51,"Hypoglycemia (low blood glucose level),Taste change,Nausea,Diarrhea,Stomach pain,Headache,Upper respiratory tract infection,","Type 2 diabetes mellitus,"
Kenadion 10mg Injection,₹ 53.45,"Taste change,Cyanosis (bluish discoloration of the skin),Breathlessness,Flushing (sense of warmth in the face, ears, neck and trunk),Increased bilirubin in the blood,Decreased blood pressure,Itching,Skin erosion,Skin eruptions,","Nutritional deficiencies,"
Kinpride Tablet,₹ 113.75,"Headache,Nausea,Diarrhea,","Gastroesophageal reflux disease (Acid reflux),Indigestion,"
Kidpred Syrup,₹ 28.55,"Increased risk of infection,High blood pressure,Irritability,Weight gain,Increased appetite,Easy bruise,Muscle weakness,Growth retardation,Upper respiratory tract infection,Cough,Frequent urge to urinate,Abnormal hair growth,Obesity,","Treatment of Inflammatory conditions,Treatment of Autoimmune conditions,Treatment of Cancer,Treatment of Nephrotic syndrome,"
Kamagra-FX 100mg Oral Jelly Cola,₹ 55,"Flushing (sense of warmth in the face, ears, neck and trunk),Headache,Dizziness,Blurred vision,Muscle pain,Upset stomach,Rash,","Treatment of Erectile dysfunction,"
Kamagra 100mg Tablet,₹ 131.30,"Flushing (sense of warmth in the face, ears, neck and trunk),Headache,Dizziness,Blurred vision,Muscle pain,Upset stomach,Rash,","Treatment of Erectile dysfunction,"
Ketoalfa  Tablet,₹ 340,"No common side effects seen,","Chronic kidney disease,"
Ketasma Tablet,₹ 81.25,"Hyperactivity,Irritation,Sleep disturbance,","Asthma,"
Kenacort 10mg Injection,₹ 65,"Infection,Headache,Joint pain,Injection site reactions (pain, swelling, redness),","Rheumatoid arthritis,Osteoarthritis,"
Ketoplast Plaster,₹ 399,"Erythema (skin redness),Inflammation,","Pain relief,"
Kofarest-PD Syrup,₹ 85.08,"Nausea,Vomiting,Diarrhea,Stomach pain,Upset stomach,Dizziness,Headache,Rash,Allergic reaction,Hives,Palpitations,Tremor,Increased heart rate,","Cough with mucus,"
Kefpod 200mg Tablet,₹ 180.50,"Rash,Nausea,Diarrhea,","Bacterial infections,"
Kofarest-PD Drop,₹ 68.04,"Vomiting,Diarrhea,Excessive salivation,Fatigue,Headache,Dizziness,Rash,Numbness of extremity,Nausea,Increased heart rate,Stomach discomfort,Palpitations,Tremor,Muscle cramp,","Treatment of Cough with mucus,Acute Sore throat,Treatment of Asthma,"
Kufril LS Syrup,₹ 99,"Nausea,Vomiting,Diarrhea,Upset stomach,Stomach pain,Allergic reaction,Dizziness,Headache,Rash,Hives,Tremor,Palpitations,Muscle cramp,Increased heart rate,","Cough with mucus,"
